Jogador;Jogada;Dados
6;1;"{""t"":1605708950037,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""5"",""al"":""5 (No fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
6;2;"{""t"":1605709378130,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
6;3;"{""t"":1605709771337,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""5"",""al"":""5 (No fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
6;4;"{""t"":1605709848417,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""20"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""1"",""al"":""Masculino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""6"",""al"":""Mais de 10 hora por semana""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""4"",""al"":""Muito habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""4"",""al"":""Conheço muito bem""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""4"",""al"":""Conheço muito bem""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""3"",""al"":""Normal (calmo e/ou estressado como de costume)""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""2"",""al"":""Gosto de jogos desafiadores, quanto mais difícil melhor o jogo""}]}"
15;1;"{""t"":1605720890567,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""2"",""al"":""2 (Depois do início e antes do meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
15;2;"{""t"":1605721302925,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
15;3;"{""t"":1605721620755,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""1"",""al"":""1 (Logo no início)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
15;4;"{""t"":1605721688736,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""23"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""1"",""al"":""Masculino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""4"",""al"":""De 3 a 5 hora por semana""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""3"",""al"":""Moderadamente habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""2"",""al"":""Conheço um pouco""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""4"",""al"":""Conheço muito bem""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""2"",""al"":""Conheço um pouco""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""3"",""al"":""Normal (calmo e/ou estressado como de costume)""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""2"",""al"":""Gosto de jogos desafiadores, quanto mais difícil melhor o jogo""}]}"
33;1;"{""t"":1605791879966,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
33;2;"{""t"":1605792343190,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""2"",""al"":""2 (Depois do início e antes do meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
33;3;"{""t"":1605792826596,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
33;4;"{""t"":1605793093737,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""34"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""1"",""al"":""Masculino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""1"",""al"":""Não joguei""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""3"",""al"":""Moderadamente habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""4"",""al"":""Conheço muito bem""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""4"",""al"":""Conheço muito bem""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""4"",""al"":""Conheço muito bem""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""2"",""al"":""Um pouco mais calmo e relaxado do que o normal""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""1"",""al"":""Não gosto de desafios, prefiro jogos fáceis, são mais divertidos""}]}"
38;1;"{""t"":1605798003019,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
38;2;"{""t"":1605798004719,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
38;3;"{""t"":1605798003755,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
38;4;"{""t"":1605798178078,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""21"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""2"",""al"":""Feminino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""1"",""al"":""Não joguei""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""2"",""al"":""Não muito habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""4"",""al"":""Conheço muito bem""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""3"",""al"":""Normal (calmo e/ou estressado como de costume)""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""2"",""al"":""Gosto de jogos desafiadores, quanto mais difícil melhor o jogo""}]}"
41;1;"{""t"":1605806971583,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
41;2;"{""t"":1605807463759,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
41;3;"{""t"":1605807973176,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
41;4;"{""t"":1605808046240,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""45"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""1"",""al"":""Masculino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""2"",""al"":""De 0 a 1 hora por semana""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""1"",""al"":""Nenhuma habilidade""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""2"",""al"":""Conheço um pouco""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""3"",""al"":""Normal (calmo e/ou estressado como de costume)""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""2"",""al"":""Gosto de jogos desafiadores, quanto mais difícil melhor o jogo""}]}"
47;1;"{""t"":1605839228422,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
47;2;"{""t"":1605839633465,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
